Region1,Region,Column,Acute Respiratory Infections,Diarrhoeal Diseases,Hepatitis,Intestinal Worms,Leprosy,"Malaria- Severe, Complicated",Malaria- Uncomplicated,Schistosomiasis,Tuberculosis,GDS,GUD,Other Sex Tras. Dis (toa GDS & GUD),Severe Protein Ernegy Malnut.,Nutritional Disorders (toa PEM),Sickle Disease,Anaemia,Neuroses,Psychoses,Epilepsy,Ear Infections,Eye Infections,Cataract,Other Eye Diseases Non-Inf.,Vitamin A Defc/Xerophthalmia,Cardiac Failure,Hypertension,Other Cardiovascular Diseases,Bronchial Asthma,Rheumatic Fever,Pneumonia,Respiratory Disease (Nyinginezo),Peptic Ulcers,Non-Infectious Gastrointestinal Diseases (Others),Urinary tract Infections (UTI),Non-Infectious Kidny diseases,Skin Infections,Skin Diseases Non-Infectious,Rheumatoid or Joint Diseases,Peri-neonatal Conditions,Snake and Insect Bites,Burns,Poisoning,HIV/AIDS,Neoplasms,Thyroid Diseases,Diabetes Mellitus,Hematological Diseases,Osteomyelitis,Congenital Diseases,Fractures/Dislocation,"Ill Defined Symptoms, no Diagnosis",Others (Taja),Total
,Arusha,Admission,442,5678,33,28,2,1791,8511,4,792,61,72,42,109,21,63,1049,127,289,229,99,115,39,70,0,687,1579,430,603,66,2915,380,902,559,870,48,140,65,124,0,29,195,399,1344,405,61,807,0,52,7,1266,1050,6900,41549
,Dodoma,Admission,316,814,9,22,0,4511,395,33,470,89,29,108,25,12,95,902,11,18,188,32,1471,0,296,0,197,668,108,447,15,2127,217,182,365,513,3,79,28,12,0,65,145,291,954,49,33,177,28,19,0,1592,29,3310,21499
,Dar es Salaam,Admission,924,2266,90,7,7,9373,,0,1312,52,75,529,82,4,80,2852,123,182,33,81,16,0,0,0,1377,3176,1119,719,96,1913,535,843,486,986,0,20,72,63,0,124,247,331,2547,152,542,2006,0,28,26,1150,9,15466,52121
,Geita,Admission,687,559,0,190,10,5797,1149,96,321,57,42,211,17,3,59,1147,2,26,23,8,6,7,0,0,49,182,38,67,9,579,249,65,71,267,0,25,3,83,0,13,17,34,368,1,6,106,0,2,0,110,359,1860,14980
,Iringa,Admission,460,1244,17,80,0,2701,357,12,129,31,58,97,30,21,7,256,25,228,76,9,5,40,18,0,296,506,60,77,40,2964,159,232,271,386,45,73,0,57,4,12,92,64,617,1,33,190,0,11,7,1021,99,1994,15212
,Kagera,Admission,1546,1469,349,5472,2374,8417,3979,196,731,59,822,84,15,6,79,989,320,255,127,58,1389,688,677,571,209,878,51,252,11,1748,429,824,848,2695,43,185,5,153,18,132,67,334,646,43,201,283,73,33,7,370,335,1007,42552
,Kigoma,Admission,2215,907,25,421,41,11516,27723,52,181,35,914,69,47,26,59,2272,81,149,74,174,224,0,0,1,266,489,115,254,247,1594,226,282,378,5176,6,204,3,218,0,167,135,204,245,17,8,514,2,23,1,699,8887,59847,127413
,Katavi,Admission,192,447,17,0,2,1176,136,0,20,0,38,16,3,0,33,522,27,40,16,74,97,0,0,0,46,199,30,175,0,396,351,133,64,92,14,14,0,36,40,121,106,47,438,0,22,86,3,105,0,615,70,222,6281
,Kilimanjaro,Admission,4665,3721,173,64,358,10292,3770,3,1830,89,661,966,35,3,1276,3340,1243,1400,1898,1078,709,14,1214,0,2564,3053,1820,2648,1126,8552,1727,1764,1382,1958,19,529,880,982,578,626,442,579,1862,60,169,2878,228,686,2,3013,2040,8891,89860
,Lindi,Admission,62,714,33,32,5,6586,753,21,193,14,23,51,3,9,16,899,32,54,36,14,173,0,13,0,301,580,73,181,9,703,49,64,330,338,1,17,10,13,0,48,69,74,461,18,18,129,0,36,2,584,87,2502,16433
