 Region,Land Area (Sq. Kms),Population Density - 1967,Population Density - 1978,Population Density - 1988,Population Density - 2002,Population Density - 2012
Tanzania,885803,14,20,26,39,51
Tanzania Mainland,883343,14,19,26,38,49
Dodoma,41311,17,24,30,41,50
Arusha,37576,N/A,N/A,20,35,45
Kilimanjaro,13250,49,68,83,104,124
Tanga,26677,29,39,48,61,77
Morogoro,70624,10,13,17,25,31
Pwani,32547,13,16,20,27,34
Dar es Salaam,1393,256,605,977,1793,3133
Lindi,66040,6,8,10,12,13
Mtwara,16710,37,46,53,68,76
Ruvuma,63669,6,9,12,18,21
Iringa,35503,12,16,21,26,26
Mbeya,60350,12,18,25,34,44
Singida,49340,9,12,16,22,27
Tabora,76150,7,11,14,23,30
Rukwa,22792,4,7,10,17,44
Kigoma,37040,13,18,23,45,57
Shinyanga,18901,18,26,35,55,81
Kagera,25265,23,36,47,72,97
Mwanza,9467,54,74,96,150,292
Mara,21760,28,37,50,70,80
Manyara,44522,N/A,N/A,13,23,32
Njombe,21347,N/A,N/A,N/A,N/A,32
Katavi,45843,N/A,N/A,N/A,N/A,12
Simiyu,25212,N/A,N/A,N/A,N/A,62
Geita,20054,N/A,N/A,N/A,N/A,86
Tanzania Zanzibar,2460,149,201,260,400,529
Kaskazini Unguja,470,124,169,206,291,398
Kusini Unguja,854,47,62,82,111,135
Mjini Magharibi,230,428,640,906,1700,2581
Kaskazini Pemba,574,157,232,239,324,368
Kusini Pemba,332,226,242,385,531,587
